rc1,rc2,rc3,zs1,zs2,zs3,nfp,etabar,B2c,p2,axis_length,iota,max_elongation,min_L_grad_B,min_R0,r_singularity,L_grad_grad_B,B20_variation,beta,DMerc_times_r2
-0.71489215,0.06850876,-0.009017808,-0.9906977,0.05940778,-0.011894902,5.0,-0.8451261,-1.2425915,-303294.75,27.916535135926004,-3.8831402918211113,7.116299456816435,0.5269702078614317,0.3445988018065689,0.0668323517169143,0.3160718417826236,1.619032749320069,0.0017023476037984,0.73331163580617
-0.72073704,0.10709794,-0.014786324,-0.7808558,0.024190767,-0.0018249174,5.0,-0.96913755,-1.6490315,-269008.5,24.77722765503418,-3.700563804908165,6.982406442277299,0.3611322077195514,0.3715745741501449,0.0859199867173412,0.173053722005777,4.727893202886338,0.0024955384710081,1.1493916342703885
0.5432572,-0.03817983,0.017771937,0.52261037,-0.011166678,0.0051918756,8.0,0.86815995,-1.7064979,-262705.5,27.76951969891524,-7.099381798279117,9.55033689283796,0.3319047600530778,0.4007910564541816,0.0930606889906487,0.1838429409658658,2.6516893319395467,0.0028589828912254,0.0149568389195042
0.45464554,-0.010750307,0.0091689145,0.48077837,-0.020043233,0.015551877,5.0,-1.1561646,-1.6663523,-160635.62,16.150327300373043,-3.899342434819909,4.58626229980429,0.3527301707615076,0.5254352344200011,0.1210927938280797,0.1839136039598851,2.308264431307081,0.0029599769554567,0.3603951582068651
-0.52118874,0.10447111,-0.017123394,-0.53134125,0.08618666,-0.015289205,6.0,1.2310343,-2.2773485,-532485.0,21.46401554051725,-4.356477448278247,2.944570414044681,0.4847859148884664,0.5661589801311491,0.2008446657221996,0.2154707308504198,0.7568848439092601,0.0269921728102118,0.6724237905740802
-0.6378546,0.08385583,-0.008149309,0.79650736,-0.07743949,0.02216071,4.0,0.9860281,0.16157438,-86682.625,19.43307533059465,2.7565574138766133,5.616339356357456,0.4856959301087485,0.4378519449383019,0.0891039649771293,0.18289764877809,2.0034322209025004,0.0008648404184642,0.2275198685270329
-0.5479804,-0.051853985,0.0037228055,-0.71536213,-0.025159242,-0.0051050256,5.0,-0.72073114,-1.3251709,-358070.25,21.183018378702755,-4.256159150994253,9.673708573917857,0.3803422570651845,0.4038883931934832,0.1311697732791722,0.2154964495615202,4.867524189265287,0.0077418658075795,0.1916859750861625
-0.59866095,0.049947083,-0.008219471,-0.64274055,0.06308987,-0.013681613,3.0,-1.0778744,-2.3843443,-94568.5,13.475406710638154,-1.9756435115418745,3.4538168082240897,0.4225472461095319,0.4430666659027333,0.0929509604464638,0.2319990058726757,2.438009217215086,0.0010267486199388,0.2858004562872731
0.5929756,0.020196684,0.011808286,-0.47385415,-0.0014012061,-0.0044568293,2.0,-0.67249346,-2.0450454,-816653.5,9.401744125798768,1.5691505983359315,7.587433318697322,0.2377332124450151,0.4154127808287738,0.0730523502933339,0.125766480427686,4.428108915494082,0.0054766637520098,0.0691014424656284
0.72988564,0.06342323,-0.0046930043,0.8326667,0.037030913,-0.0015682158,3.0,-0.69861907,-1.0911145,-108044.625,16.29050204764173,-2.204132565848451,8.066190250611449,0.512183886476405,0.3382305977866052,0.117137850146099,0.2711392155091798,1.426728163590448,0.0018629771520982,0.3097005810806976
